round,client_id,tier,client_idx,epochs,upload_ratio,noise_multiplier,predicted_compute_seconds,predicted_communication_seconds,predicted_total_seconds,privacy_target_increment,utility_score
36,client_4,standard,4,3,1.0,3.6106416178621252,0.46534590712911633,0.08516885574452088,0.5505147628736372,0.20884984684902164,0.3971096706209899
36,client_13,standard,13,3,1.0,3.389557072820799,0.6192560707118524,0.0797205899403684,0.6989766606522207,0.20895376538828359,0.3869264136949965
36,client_9,constrained,9,3,1.0,3.4327173714092387,1.2312346295675611,0.3144861027975652,1.5457207323651263,0.20897881698045517,0.2639619299633949
37,client_16,constrained,16,3,1.0,3.693997996000406,1.6453539819321932,0.36474374762102785,2.010097729553221,0.23237124589496072,0.746938854800963
37,client_8,standard,8,3,1.0,4.272820253339309,0.36563867359601715,0.07728248617562876,0.4429211597716459,0.25909872419756386,0.7904046722455739
37,client_2,high,2,3,1.0,4.121427828678226,0.23826233263255953,0.024458657975333954,0.2627209906078935,0.25926380249468717,0.8298657939201687
37,client_7,high,7,3,1.0,3.06017852432284,0.533527093804685,0.02662130603654129,0.5601483998412263,0.22859064180719002,0.734787411449679
37,client_14,standard,14,3,1.0,3.3537396986022987,0.6094730867856117,0.09833077465809316,0.7078038614437049,0.22830973669007926,0.6972174486229402
37,client_6,standard,6,3,1.0,3.4835336029937776,0.5781483512391693,0.07648290690084421,0.6546312581400135,0.2284789228790639,0.6776088502395962
37,client_12,standard,12,3,1.0,3.538254040645005,0.5538389502273255,0.0847101572150033,0.6385491074423288,0.20873927107423473,0.632291372791295
37,client_5,high,5,3,1.0,3.312495992789027,0.36312852040540844,0.023383561967149004,0.38651208237255746,0.20914532287268717,0.6229578110399342
37,client_19,standard,19,3,1.0,3.4591373167900774,0.629786500631721,0.09290822467439015,0.7226947253061112,0.20891678074721298,0.6084429001995674
37,client_1,standard,1,3,1.0,3.213244963124814,0.6644455744673785,0.0803078226515024,0.7447533971188809,0.20915883557186388,0.6045699205454937
37,client_11,high,11,3,1.0,3.969607584966967,0.23411141055854134,0.025308207152698825,0.25941961771124017,0.19465234194477454,0.5386708544879867
37,client_3,standard,3,3,1.0,3.50656314689353,0.42175540944598716,0.09588069987744074,0.5176361093234279,0.24019016585677155,0.4577693933948826
37,client_0,standard,0,3,1.0,3.4183403595999473,0.47921465460009144,0.09296751367096143,0.5721821682710528,0.2406647799379522,0.44018811181799405
37,client_10,standard,10,3,1.0,2.9891397202244807,0.5254477399564685,0.0847319841093381,0.6101797240658067,0.2421278469646846,0.4390267779040966
37,client_13,standard,13,3,1.0,2.881123511897679,0.6181749824422413,0.08185356134461275,0.7000285437868541,0.2423823048510012,0.4266802122694948
37,client_4,standard,4,3,1.0,3.069045375182806,0.5092520484255058,0.07364450652567703,0.5828965549511828,0.24185684452550005,0.4196129446829953
37,client_17,constrained,17,3,1.0,3.5526568059502646,1.2029863155536624,0.41779796173929185,1.6207842772929544,0.19468931180996873,0.40871683661514335
37,client_9,constrained,9,3,1.0,2.9178097656978528,1.2473838283631704,0.30461632754908385,1.5520001559122543,0.24237734033113822,0.33467098162835396
38,client_15,constrained,15,3,1.0,3.618577491233065,1.2959069370647653,0.32588094620444885,1.621787883269214,0.23845241274031992,0.7477258964108013
38,client_18,standard,18,3,1.0,3.063396702543032,0.5139782956686809,0.09079514642247194,0.6047734420911528,0.27399698642484616,0.7058002725236717
38,client_2,high,2,3,1.0,3.5032136543764922,0.2484897224613311,0.025413389538188433,0.27390311199951956,0.2728097739437385,0.7080923006638614
38,client_16,constrained,16,3,1.0,3.212172170435136,1.6161688798110825,0.3640525959186891,1.9802214757297716,0.22840716797266358,0.746938854800963
38,client_14,standard,14,3,1.0,2.8506787438119536,0.6290096313193474,0.09723911361330859,0.726248744932656,0.2561531867189222,0.699069888209412
38,client_6,standard,6,3,1.0,2.9610035625447106,0.5401445865966548,0.08450999697405959,0.6246545835707144,0.256115608316564,0.6836207771257401
38,client_8,standard,8,3,1.0,3.6318972153384124,0.40449590374178107,0.08353592108282701,0.48803182482460805,0.27248130054521624,0.6726872312754256
38,client_5,high,5,3,1.0,2.8156215938706732,0.3238692469843996,0.02337455844990424,0.34724380543430383,0.24293308096599198,0.6345015288542546
38,client_11,high,11,3,1.0,3.374166447221922,0.2631497323267482,0.025612242606501648,0.28876197493324984,0.2314231683321164,0.6212796925702107
38,client_19,standard,19,3,1.0,2.9402667192715657,0.6169000806507021,0.0906633841524549,0.707563464803157,0.24220078029119962,0.6086448162087494
38,client_1,standard,1,3,1.0,2.731258218656092,0.7478327717134847,0.07912834453934856,0.8269611162528333,0.24312752810226845,0.5894194404673107
38,client_17,constrained,17,3,1.0,3.019758285057725,1.2738931731444638,0.3805375935947649,1.6544307667392286,0.23224580700436448,0.4866090862231281
38,client_13,standard,13,3,1.0,2.881123511897679,0.5177367727809056,0.08328398387408892,0.6010207566549945,0.200901661314149,0.42378042144103173
38,client_3,standard,3,3,1.0,3.50656314689353,0.48456366081060015,0.08802374538110024,0.5725874061917003,0.19966269976056705,0.4224112150803836
38,client_0,standard,0,3,1.0,3.4183403595999473,0.42793569152244487,0.09817072869811294,0.5261064202205579,0.1999270478353412,0.42142514839841916
38,client_4,standard,4,3,1.0,3.069045375182806,0.46409457232244167,0.07643202866484805,0.5405266009872898,0.20059841207414086,0.4133142456464555
38,client_9,constrained,9,3,1.0,2.9178097656978528,1.2940293271802434,0.3088944762567136,1.602923803436957,0.20089386724434322,0.3134204198404176
39,client_16,constrained,16,3,1.0,2.7303463448698655,1.5313709483705804,0.3046413501803549,1.8360122985509353,0.2566905974113173,0.7416103579231551
39,client_12,standard,12,3,1.0,3.007515934548254,0.5175565659817699,0.07829108820603813,0.595847654187808,0.24169748313146044,0.8180647051200539
39,client_7,high,7,3,1.0,2.601151745674414,0.4718661275330976,0.025299908485257018,0.49716603601835463,0.25746349118810885,0.9047710783645457
39,client_15,constrained,15,3,1.0,3.0757908675481054,1.1763408775803441,0.31003737538712745,1.4863782529674716,0.26241965165825865,0.7097438167989931
39,client_18,standard,18,3,1.0,3.063396702543032,0.5663291001196393,0.09179009551171269,0.658119195631352,0.2163983092839432,0.6245611463285058
39,client_14,standard,14,3,1.0,2.8506787438119536,0.6274339730647859,0.09988778048864541,0.7273217535534313,0.20748121212745319,0.6166925619126795
39,client_6,standard,6,3,1.0,2.9610035625447106,0.5035663787998581,0.07836524011538662,0.5819316189152447,0.20729252431144007,0.5932684008875871
39,client_11,high,11,3,1.0,3.374166447221922,0.25347338152725096,0.022635228628775046,0.276108610156026,0.19389267945768163,0.5493588634421761
39,client_19,standard,19,3,1.0,2.9402667192715657,0.6412624968202059,0.08357603504374109,0.724838531863947,0.20079708849702138,0.5391377533592158
39,client_1,standard,1,3,1.0,2.731258218656092,0.6794158500262784,0.08795997468298111,0.7673758247092595,0.20131961670880627,0.5212341889460437
39,client_10,standard,10,3,1.0,2.9891397202244807,0.47756315906986585,0.08013334566180919,0.5576965047316751,0.20075208151709445,0.5173517808926235
39,client_3,standard,3,3,1.0,3.50656314689353,0.4090647251480629,0.09201103138851459,0.5010757565365775,0.174540277504035,0.4437581785294865
