round,client_id,upload_ratio,parameter_blocks,uploaded_bytes,total_parameter_bytes,residual_l2
44,client_8,1.0,8,295160,295160,0.0
44,client_9,1.0,8,295160,295160,0.0
44,client_10,1.0,8,295160,295160,0.0
44,client_12,1.0,8,295160,295160,0.0
44,client_13,1.0,8,295160,295160,0.0
44,client_15,1.0,8,295160,295160,0.0
44,client_16,1.0,8,295160,295160,0.0
44,client_17,1.0,8,295160,295160,0.0
44,client_18,1.0,8,295160,295160,0.0
44,client_19,1.0,8,295160,295160,0.0
45,client_0,1.0,8,295160,295160,0.0
45,client_1,1.0,8,295160,295160,0.0
45,client_3,1.0,8,295160,295160,0.0
45,client_4,1.0,8,295160,295160,0.0
45,client_6,1.0,8,295160,295160,0.0
45,client_7,1.0,8,295160,295160,0.0
45,client_9,1.0,8,295160,295160,0.0
45,client_10,1.0,8,295160,295160,0.0
45,client_11,1.0,8,295160,295160,0.0
45,client_13,1.0,8,295160,295160,0.0
45,client_14,1.0,8,295160,295160,0.0
45,client_15,1.0,8,295160,295160,0.0
45,client_16,1.0,8,295160,295160,0.0
45,client_17,1.0,8,295160,295160,0.0
45,client_18,1.0,8,295160,295160,0.0
45,client_19,1.0,8,295160,295160,0.0
46,client_0,1.0,8,295160,295160,0.0
46,client_2,1.0,8,295160,295160,0.0
46,client_3,1.0,8,295160,295160,0.0
46,client_4,1.0,8,295160,295160,0.0
46,client_5,1.0,8,295160,295160,0.0
46,client_6,1.0,8,295160,295160,0.0
46,client_8,1.0,8,295160,295160,0.0
46,client_9,1.0,8,295160,295160,0.0
46,client_10,1.0,8,295160,295160,0.0
46,client_11,1.0,8,295160,295160,0.0
46,client_13,1.0,8,295160,295160,0.0
46,client_15,1.0,8,295160,295160,0.0
46,client_16,1.0,8,295160,295160,0.0
46,client_18,1.0,8,295160,295160,0.0
47,client_0,1.0,8,295160,295160,0.0
47,client_1,1.0,8,295160,295160,0.0
47,client_2,1.0,8,295160,295160,0.0
47,client_5,1.0,8,295160,295160,0.0
47,client_6,1.0,8,295160,295160,0.0
47,client_7,1.0,8,295160,295160,0.0
47,client_8,1.0,8,295160,295160,0.0
47,client_9,1.0,8,295160,295160,0.0
47,client_10,1.0,8,295160,295160,0.0
47,client_11,1.0,8,295160,295160,0.0
47,client_12,1.0,8,295160,295160,0.0
47,client_13,1.0,8,295160,295160,0.0
47,client_14,1.0,8,295160,295160,0.0
47,client_16,1.0,8,295160,295160,0.0
47,client_17,1.0,8,295160,295160,0.0
47,client_18,1.0,8,295160,295160,0.0
47,client_19,1.0,8,295160,295160,0.0
48,client_0,1.0,8,295160,295160,0.0
48,client_1,1.0,8,295160,295160,0.0
48,client_2,1.0,8,295160,295160,0.0
48,client_3,1.0,8,295160,295160,0.0
48,client_4,1.0,8,295160,295160,0.0
48,client_5,1.0,8,295160,295160,0.0
48,client_6,1.0,8,295160,295160,0.0
48,client_7,1.0,8,295160,295160,0.0
48,client_8,1.0,8,295160,295160,0.0
48,client_10,1.0,8,295160,295160,0.0
48,client_11,1.0,8,295160,295160,0.0
48,client_12,1.0,8,295160,295160,0.0
48,client_13,1.0,8,295160,295160,0.0
48,client_14,1.0,8,295160,295160,0.0
48,client_15,1.0,8,295160,295160,0.0
48,client_17,1.0,8,295160,295160,0.0
48,client_18,1.0,8,295160,295160,0.0
49,client_1,1.0,8,295160,295160,0.0
49,client_2,1.0,8,295160,295160,0.0
49,client_3,1.0,8,295160,295160,0.0
49,client_4,1.0,8,295160,295160,0.0
49,client_5,1.0,8,295160,295160,0.0
49,client_7,1.0,8,295160,295160,0.0
49,client_8,1.0,8,295160,295160,0.0
49,client_11,1.0,8,295160,295160,0.0
49,client_12,1.0,8,295160,295160,0.0
49,client_15,1.0,8,295160,295160,0.0
49,client_18,1.0,8,295160,295160,0.0
49,client_19,1.0,8,295160,295160,0.0
50,client_0,1.0,8,295160,295160,0.0
50,client_2,1.0,8,295160,295160,0.0
50,client_3,1.0,8,295160,295160,0.0
50,client_4,1.0,8,295160,295160,0.0
50,client_5,1.0,8,295160,295160,0.0
50,client_6,1.0,8,295160,295160,0.0
50,client_7,1.0,8,295160,295160,0.0
50,client_8,1.0,8,295160,295160,0.0
50,client_9,1.0,8,295160,295160,0.0
50,client_10,1.0,8,295160,295160,0.0
50,client_11,1.0,8,295160,295160,0.0
50,client_12,1.0,8,295160,295160,0.0
50,client_13,1.0,8,295160,295160,0.0
50,client_14,1.0,8,295160,295160,0.0
50,client_15,1.0,8,295160,295160,0.0
50,client_17,1.0,8,295160,295160,0.0
50,client_18,1.0,8,295160,295160,0.0
50,client_19,1.0,8,295160,295160,0.0
